tankID,treatment,m_fish1_weight.g,m_fish2_weight.g,f_fish1_weight.g,f_fish2_weight.g,m_fish1_SL.mm,m_fish2_SL.mm,f_fish1_SL.mm,f_fish2_SL.mm
8.1,mean,0.761,0.812,1,0.789,41.29,41.71,38.81,38.13
6.3,flux,0.62,0.701,0.689,1.02,37.09,37.73,37.25,42.1
6.1,flux,0.951,0.73,1.173,0.776,43.03,41.72,37.41,38.14
1.1,flux,0.786,0.719,0.909,1.148,40.97,37.94,37.69,41.03
4.3,flux,0.625,0.904,0.65,1.04,36.08,38.76,36.24,40.82
2.3,mean,0.938,1.146,0.824,1.11,40.43,42.12,38.76,39.29
5.1,flux,0.907,0.768,1,0.878,40.35,36.69,43.13,39.87
6.2,control,0.688,0.842,1.41,1.006,38.55,43.58,44.15,40.73
3.2,flux,0.654,0.858,0.802,0.943,36.35,40.16,37.27,39.74
7.2,control,0.919,0.57,0.962,1.026,40.81,37.35,39.65,41.82
8.3,mean,0.742,0.769,0.856,1.28,38.01,40.49,40.74,42.44
4.2,mean,0.993,0.677,1.048,0.987,41.38,36.24,42.01,39.1
7.3,control,0.874,0.887,0.96,0.679,39.4,39.13,38.03,37.25
1.3,control,0.911,0.844,0.712,0.642,37.67,41.18,36.93,36.36
2.1,control,0.629,0.644,0.903,0.814,36.61,35.38,40.4,38.54
4.1,mean,0.707,0.827,0.704,0.644,40.63,40.37,36.18,36.29
3.1,mean,0.862,0.851,0.749,0.587,40.59,38.81,38.96,35.26
8.2,flux,0.698,0.885,0.83,0.679,39.27,40.03,38.03,36.76
3.3,mean,0.916,0.972,0.86,0.9,40.13,42.66,40.67,41.16
7.1,mean,0.669,0.939,0.733,0.525,37.85,NA,39.36,39.14
5.2,control,0.896,0.883,0.757,0.835,40.73,40.06,39.04,37.75
5.3,control,0.584,0.496,0.739,0.589,38.74,32.67,38.13,33.06
1.2,flux,0.585,0.659,0.956,0.752,39.61,35.77,38.83,39.57
2.2,control,0.676,0.743,0.687,0.728,41.51,NA,37.67,35.58
