tankID,time,treatment,sex,fish1_weight.g,fish2_weight.g,fish3_weight.g,fish1_SL.mm,fish2_SL.mm,fish3_SL.mm
4.1,before,control,f,0.896,0.831,0.878,36.8,37.8,35.2
6.2,before,flux,f,0.844,0.569,0.875,35.4,32,35.6
4.2,before,mean,m,0.619,0.503,0.501,36.2,34.3,34.5
4.3,before,flux,f,0.682,0.762,0.511,36.2,36.8,32.5
1.2,before,control,m,0.616,0.57,0.46,36.3,37.1,33.9
1.3,before,control,m,0.675,0.6,0.604,38.4,34.4,34.9
3.1,before,mean,f,0.73,0.744,0.786,36.7,35.7,35.8
5.2,before,control,m,0.595,0.673,0.458,35.5,35.8,32.9
1.1,before,flux,f,0.718,0.855,0.704,35.6,37.3,34.5
2.2,before,mean,m,0.508,0.595,0.726,33.6,35.1,35.3
3.3,before,control,m,0.885,0.692,0.63,37.7,34.8,35
8.2,before,control,f,1.049,0.686,0.7,33.1,33.6,38.4
5.3,before,flux,f,0.867,0.805,0.661,35.2,34.3,37.4
7.2,before,mean,m,0.802,0.5,0.687,33.6,36.1,35.9
6.1,before,mean,f,0.845,0.99,0.737,37.3,37.3,36.8
8.3,before,flux,m,0.795,0.798,0.528,36.2,38.6,35.5
5.1,before,flux,m,0.688,0.742,0.628,36.1,36.2,35.4
7.3,before,control,f,0.714,0.851,1.036,34.7,37,37.7
7.1,before,mean,f,0.891,0.722,0.761,37.8,37.6,35
2.3,before,flux,m,0.731,0.511,0.633,36,33.8,35.8
8.1,before,control,f,0.681,0.746,0.964,36.5,35.8,35.9
3.2,before,flux,m,0.681,0.772,0.545,36.2,35.7,32.7
2.1,before,mean,f,0.93,0.914,0.832,37.8,36.7,37.7
6.3,before,mean,m,0.525,0.675,0.671,32.5,35.1,35.5
2.1,after,mean,f,0.95,0.927,0.951,37.6,37,35.8
2.2,after,mean,m,0.704,0.593,0.525,37.2,33.4,34.1
2.3,after,flux,m,0.55,0.731,0.665,31,34.1,38
1.1,after,flux,f,0.783,0.871,0.696,35.3,36.5,34.8
1.2,after,control,m,0.428,0.634,0.554,31.7,36.7,33.5
1.3,after,control,m,0.567,0.725,0.704,36,39,35.2
3.1,after,mean,f,0.766,0.899,0.726,35.2,36,36.1
3.2,after,flux,m,0.748,0.618,0.566,34.6,36.3,33
3.3,after,control,m,0.817,0.842,0.634,40,38,36.5
4.1,after,control,f,0.755,1.009,0.798,35.1,36.2,33.9
4.2,after,mean,m,0.532,0.555,0.654,37.9,33.6,36.3
4.3,after,flux,f,0.876,0.598,0.825,35.1,33.1,34.2
5.1,after,flux,m,0.753,0.729,0.787,35.4,37.5,37.3
5.2,after,control,m,0.704,0.482,0.555,36.2,34.2,35.2
5.3,after,flux,f,0.988,0.729,0.817,39,35.9,34.3
6.1,after,mean,f,0.98,0.971,0.726,36.4,37.5,33.8
6.2,after,flux,f,1.04,0.855,0.618,37.4,36,31.9
6.3,after,mean,m,0.661,0.688,0.574,35.8,37.1,34.4
7.1,after,mean,f,0.74,0.984,0.821,34.6,36.9,36.5
7.2,after,mean,m,0.901,0.483,0.671,35.8,35.5,33.5
7.3,after,control,f,0.848,1.006,0.758,37.9,38.4,34.5
8.1,after,control,f,0.761,0.975,0.795,37.6,36.8,35.4
8.2,after,control,f,0.587,1.052,1.037,33.9,37.4,35.7
8.3,after,flux,m,0.771,0.778,0.56,39.3,38.4,36.3
